ball_possession,total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_percent,fouls_committed,corners,total_shots,shots_off_target,shots_on_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,accurate_passes,accurate_passes_percent,own_half_passes,opposition_half_passes,accurate_long_balls,accurate_long_balls_percent,accurate_crosses,accurate_crosses_percent,throws,touches_in_opp_box,offsides,yellow_cards,red_cards,tackles_won,tackles_won_percent,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,successful_dribbles,successful_dribbles_percent,result,first_half_goals,full_time_goals
0.52,4,3,1,0,165,0.71,6,2,4,0,3,1,0,1,2,232,165,0.71,116,49,10,0.31,3,0.27,25,NULL,1,0,0,5,0.36,5,1,8,0,24,14,0.44,7,0.5,0,0,W,2,3
0.48,8,2,2,0,166,0.76,3,4,8,5,2,1,0,7,1,217,166,0.76,91,75,10,0.38,3,0.27,15,NULL,0,0,0,9,0.75,5,1,21,1,29,22,0.56,7,0.5,4,0.33,L,2,2
0.42,15,7,4,2,147,0.79,3,6,15,5,7,3,1,12,3,185,147,0.79,79,68,11,0.48,5,0.36,9,NULL,0,0,0,5,0.45,5,0,9,0,27,21,0.68,6,0.5,4,0.5,W,2,4
0.58,3,0,0,0,212,0.82,6,3,3,3,0,0,0,3,0,259,212,0.82,133,79,15,0.48,3,0.3,11,NULL,0,0,0,3,0.6,3,3,9,5,16,10,0.32,6,0.5,3,0.33,L,0,0
0.37,1,0,0,0,107,0.72,7,0,1,1,0,0,0,1,0,148,107,0.72,76,31,13,0.46,2,0.67,9,NULL,1,0,0,4,0.36,2,1,13,3,22,16,0.4,6,0.86,2,0.33,L,0,1
0.63,11,5,2,1,202,0.81,3,4,11,5,5,1,0,8,3,248,202,0.81,90,112,9,0.47,2,0.15,19,NULL,2,0,0,7,0.78,6,0,1,0,25,24,0.6,1,0.14,6,0.67,W,2,4
0.47,5,1,0,0,157,0.79,5,6,5,3,1,1,0,4,1,199,157,0.79,61,96,6,0.33,2,0.18,15,NULL,0,0,0,2,0.5,3,0,9,2,17,16,0.73,1,0.25,8,0.89,L,1,1
0.53,6,3,3,2,175,0.78,4,2,6,3,3,0,0,5,1,255,175,0.78,136,39,7,0.25,2,0.29,8,NULL,0,0,0,2,0.5,4,1,5,1,9,6,0.27,3,0.75,0,0,W,1,2
0.52,4,1,0,0,133,0.73,8,0,4,1,1,2,0,2,2,183,133,0.73,76,57,7,0.29,1,0.09,13,NULL,0,0,0,3,0.38,9,2,10,1,23,16,0.41,7,0.64,4,0.57,T,1,2
0.48,6,3,2,0,114,0.67,4,3,6,1,3,2,0,5,1,169,114,0.67,64,50,13,0.38,0,0,6,NULL,1,0,0,8,0.62,3,2,12,1,27,23,0.59,4,0.36,2,0.67,T,2,2
0.46,5,0,0,0,155,0.7,2,2,5,3,0,2,0,3,2,221,155,0.7,99,56,14,0.38,0,0,8,NULL,0,0,0,2,0.4,7,2,9,1,21,14,0.58,7,0.47,5,0.71,L,0,0
0.54,5,2,0,0,199,0.77,4,3,5,1,2,2,0,3,2,258,199,0.77,129,70,16,0.41,0,0,18,NULL,1,0,0,2,0.67,6,2,3,0,18,10,0.42,8,0.53,5,0.83,W,1,2
0.42,4,2,0,0,140,0.75,4,2,4,2,2,0,0,3,1,186,140,0.75,107,33,9,0.41,2,0.5,17,NULL,0,0,0,10,0.91,5,1,12,2,25,20,0.61,5,0.71,5,0.5,W,1,3
0.58,3,2,0,0,217,0.83,5,5,3,0,2,1,0,2,1,261,217,0.83,131,86,15,0.56,0,0,13,NULL,1,0,0,2,0.33,1,0,4,1,15,13,0.39,2,0.29,3,0.43,L,0,1
0.47,5,2,0,0,139,0.71,6,1,5,2,2,1,1,2,3,195,139,0.71,67,72,6,0.19,0,0,19,NULL,0,0,0,6,0.55,4,1,6,1,27,24,0.48,3,0.33,5,0.56,L,0,1
0.53,6,2,2,1,172,0.76,8,1,6,3,2,1,0,5,1,226,172,0.76,110,62,11,0.39,1,0.2,12,NULL,3,0,0,11,0.79,9,1,5,2,32,26,0.52,6,0.67,6,0.43,W,1,2
0.52,11,3,3,2,164,0.7,2,1,11,7,3,1,2,9,2,235,164,0.7,102,62,20,0.38,0,0,11,NULL,0,0,0,9,0.82,8,1,1,1,23,21,0.54,2,0.22,3,0.6,T,1,1
0.48,5,2,1,1,147,0.7,7,1,5,2,2,1,0,5,0,209,147,0.7,69,78,17,0.47,2,0.25,11,NULL,0,0,0,7,0.58,6,1,8,2,25,18,0.46,7,0.78,4,0.29,T,1,1
0.67,5,3,1,0,233,0.81,8,0,5,0,3,2,0,2,3,289,233,0.81,141,92,18,0.51,0,0,14,NULL,0,0,0,3,1,3,1,5,1,22,17,0.44,5,0.42,10,0.56,L,1,1
0.33,5,2,1,1,84,0.6,5,1,5,2,2,1,0,5,0,139,84,0.6,49,35,10,0.32,3,0.6,11,NULL,0,0,0,6,0.5,10,1,5,2,29,22,0.56,7,0.58,3,0.6,W,1,2
0.43,5,3,1,1,123,0.73,5,1,5,1,3,1,0,2,3,168,123,0.73,83,40,18,0.47,1,0.17,9,NULL,3,0,0,6,0.55,4,2,10,2,31,26,0.55,5,0.56,8,0.62,L,0,0
0.57,7,2,0,0,180,0.79,7,1,7,3,2,2,0,5,2,229,180,0.79,86,94,7,0.3,2,0.5,7,NULL,1,0,0,7,0.64,5,1,7,3,25,21,0.45,4,0.44,5,0.38,W,0,2
0.43,2,2,1,0,137,0.71,7,0,2,0,2,0,0,2,0,194,137,0.71,105,32,13,0.39,1,0.25,9,NULL,1,0,0,11,0.85,4,0,8,0,24,21,0.55,3,0.43,5,0.56,W,1,4
0.57,3,0,1,1,214,0.82,3,1,3,3,0,0,0,3,0,260,214,0.82,104,110,5,0.26,2,0.25,18,NULL,1,0,0,4,0.5,5,0,6,1,21,17,0.45,4,0.57,3,0.33,L,0,2
0.56,11,2,0,0,164,0.72,4,0,11,9,2,0,1,5,6,227,164,0.72,79,85,10,0.42,2,0.25,11,NULL,1,0,0,8,1,4,2,10,0,29,21,0.51,8,0.47,6,0.67,T,0,2
0.44,11,2,1,0,124,0.7,7,3,11,7,2,2,1,9,2,176,124,0.7,72,52,17,0.52,2,0.22,10,NULL,2,0,0,3,0.43,8,0,6,2,29,20,0.49,9,0.53,9,0.69,T,2,2
0.57,6,1,0,0,226,0.84,5,1,6,4,1,1,0,3,3,268,226,0.84,151,75,15,0.53,6,0.4,13,NULL,2,0,0,4,0.44,4,1,8,0,24,19,0.63,5,0.45,4,0.67,W,0,1
0.43,3,0,0,0,161,0.78,7,2,3,2,0,1,0,3,0,206,161,0.78,129,32,18,0.51,3,0.43,8,NULL,1,0,0,3,0.75,11,0,7,1,17,11,0.37,6,0.55,2,0.33,L,0,0
0.53,7,3,2,0,238,0.84,6,1,7,2,3,2,0,6,1,284,238,0.84,143,95,10,0.42,2,0.22,9,NULL,0,0,0,5,0.5,4,1,11,1,20,15,0.63,5,0.83,3,0.75,W,3,5
0.47,5,2,0,0,202,0.81,2,3,5,2,2,1,0,2,3,250,202,0.81,142,60,9,0.36,0,0,6,NULL,0,0,0,2,1,4,1,11,0,10,9,0.38,1,0.17,2,0.33,L,1,2
0.51,4,2,0,0,148,0.69,9,2,4,2,2,0,0,4,0,216,148,0.69,82,66,16,0.48,3,0.3,11,NULL,0,0,0,2,0.33,9,0,6,3,21,12,0.3,9,0.82,3,0.6,T,0,0
0.49,6,3,0,0,135,0.66,3,1,6,3,3,0,0,3,3,206,135,0.66,88,47,15,0.38,2,0.18,13,NULL,1,0,0,6,0.86,7,0,6,2,20,18,0.6,2,0.18,3,0.38,T,0,0
0.51,9,2,0,0,153,0.74,7,1,9,6,2,1,2,8,1,207,153,0.74,73,80,9,0.36,2,0.29,15,NULL,0,0,0,5,0.5,3,2,3,1,22,16,0.46,6,0.55,1,0.5,W,0,1
0.49,4,1,0,0,131,0.66,6,3,4,1,1,2,0,4,0,197,131,0.66,79,52,11,0.31,2,0.67,16,NULL,1,0,0,6,0.67,9,1,7,2,24,19,0.54,5,0.45,3,0.2,L,0,0
0.46,13,5,1,0,163,0.79,7,3,13,4,5,4,0,9,4,207,163,0.79,86,77,6,0.33,2,0.22,11,NULL,0,0,0,6,1,4,1,7,2,17,12,0.44,5,0.71,6,0.6,W,2,2
0.54,4,2,0,0,204,0.83,0,1,4,1,2,1,0,2,2,246,204,0.83,124,80,15,0.56,2,0.2,14,NULL,0,0,0,1,0.2,2,4,10,3,17,15,0.56,2,0.29,3,0.5,L,0,0
0.49,6,1,1,1,188,0.78,5,1,6,4,1,1,1,4,2,242,188,0.78,122,66,9,0.39,4,0.5,7,NULL,0,0,0,9,0.6,8,0,5,1,24,22,0.55,2,0.4,3,0.38,W,0,2
0.51,4,1,0,0,204,0.82,4,4,4,3,2,0,0,3,1,250,204,0.82,119,85,6,0.43,2,0.22,6,NULL,2,0,0,6,0.55,7,1,13,1,21,18,0.45,3,0.6,2,0.29,L,0,0
0.43,4,0,0,0,115,0.7,6,3,4,0,0,4,0,3,1,164,115,0.7,53,62,4,0.24,2,0.15,23,NULL,0,0,0,6,0.67,3,0,14,1,22,18,0.49,4,0.4,7,0.7,L,0,0
0.57,4,1,0,0,177,0.76,2,1,4,3,1,0,0,3,1,233,177,0.76,110,67,9,0.26,1,0.13,8,NULL,2,0,0,4,0.36,9,4,17,0,25,19,0.51,6,0.6,2,0.33,W,0,2
0.33,4,1,0,0,119,0.69,3,1,4,2,1,1,1,3,1,173,119,0.69,88,31,9,0.33,0,0,17,NULL,0,0,0,4,0.5,6,3,9,2,18,11,0.42,7,0.58,1,0.25,L,0,0
0.67,8,3,1,0,303,0.85,2,1,8,2,3,3,0,7,1,358,303,0.85,167,136,11,0.35,1,0.25,19,NULL,2,0,0,7,0.78,4,1,7,1,20,15,0.58,5,0.42,3,0.43,W,1,1
0.42,12,7,1,0,125,0.73,5,5,12,1,7,4,0,5,7,171,125,0.73,62,63,9,0.43,1,0.06,14,NULL,0,0,0,3,1,5,2,8,1,10,8,0.36,2,0.29,2,0.5,T,2,2
0.58,4,1,0,0,183,0.73,3,0,4,1,1,2,0,3,1,249,183,0.73,134,49,15,0.5,1,0.25,14,NULL,0,0,0,3,0.43,9,4,17,5,19,14,0.64,5,0.71,3,0.75,T,0,2
0.4,4,1,1,0,134,0.72,6,0,4,3,1,0,0,3,1,186,134,0.72,81,53,13,0.43,0,0,10,NULL,1,0,0,3,0.6,6,1,9,2,27,19,0.49,8,0.53,8,0.5,T,1,1
0.6,7,3,3,2,223,0.81,6,2,7,3,3,1,0,6,1,277,223,0.81,123,100,13,0.54,4,0.44,10,NULL,1,1,0,6,0.55,6,0,3,0,27,20,0.51,7,0.47,3,0.6,T,1,1
0.49,8,4,1,1,179,0.82,3,5,8,2,4,2,0,6,2,219,179,0.82,120,59,3,0.16,2,0.22,14,NULL,0,0,0,4,0.67,3,1,5,0,14,13,0.48,1,0.11,4,0.67,L,1,1
0.51,5,2,0,0,194,0.85,4,4,5,2,2,1,0,4,1,227,194,0.85,144,50,14,0.67,2,0.18,11,NULL,0,0,0,4,0.8,7,3,7,2,22,14,0.52,8,0.89,6,0.55,W,2,3
0.48,6,2,1,0,164,0.8,2,2,6,3,2,1,0,6,0,204,164,0.8,101,63,9,0.36,0,0,11,NULL,1,0,0,4,0.4,2,1,10,0,24,20,0.45,4,0.5,3,0.43,T,1,3
0.52,7,1,0,0,175,0.83,8,3,7,5,1,1,1,6,1,212,175,0.83,77,98,6,0.35,3,0.19,9,NULL,0,0,0,6,0.46,1,1,6,1,28,24,0.55,4,0.5,9,0.9,T,1,3
0.46,5,3,2,2,128,0.72,5,2,5,2,3,0,0,4,1,177,128,0.72,98,30,9,0.36,1,0.17,11,NULL,2,0,0,6,0.67,10,3,7,2,24,22,0.51,2,0.29,5,0.63,W,0,2
